DateTime;TempInside;Humidity;People;Co2;TempOutside
2016-04-01 00:20:00;20,39;39,9;0;426;6,43
2016-04-01 00:30:00;20,39;39,9;0;477;6,4
2016-04-01 01:10:00;20,29;39,79;0;409;6,27
2016-04-01 01:20:00;20,29;39,79;0;412;6,23
2016-04-01 01:30:00;20,29;39,76;0;496;6,2
2016-04-01 01:40:00;20,23;39,63;0;432;6,17
2016-04-01 01:50:00;20,26;39,66;0;445;6,13
2016-04-01 02:10:00;20,2;39,56;0;478;5,9
2016-04-01 02:50:00;20,2;39,4;0;405;5,1
2016-04-01 03:30:00;20,1;39,29;0;463;4,7
2016-04-01 04:00:00;20,1;39,26;0;426;4,5
2016-04-01 04:10:00;20,1;39,2;0;440;4,27
2016-04-01 06:00:00;19,89;38,9;0;483;2,7
2016-04-01 06:10:00;19,89;38,83;0;433;2,62
2016-04-01 06:30:00;19,89;38,79;0;409;2,45
2016-04-01 07:40:00;19,79;38,59;0;468;2,2
2016-04-01 09:00:00;19,89;39,29;1;532;3,2
2016-04-01 09:10:00;20,03;39,29;1;535;3,52
2016-04-01 09:30:00;20,13;39,29;1;560;4,15
2016-04-01 12:20:00;21,2;38,56;2;718;8,87
2016-04-01 13:10:00;21,27;38,17;2;710;9,97
2016-04-01 13:50:00;21,2;37,66;2;730;10,63
2016-04-01 15:10:00;21,1;37,09;2;740;10,77
2016-04-01 15:40:00;21,1;37,03;2;657;10,97
2016-04-01 15:50:00;21;36,9;2;659;11,03
2016-04-01 16:30:00;20,93;36,9;2;680;10,8
2016-04-01 17:10:00;20,89;36,9;2;674;10,47
2016-04-01 19:50:00;20,6;37,53;1;564;9,42
2016-04-01 20:00:00;20,6;37,59;1;594;9,3
2016-04-01 21:50:00;20,46;37,9;0;477;8,87
2016-04-01 22:00:00;20,46;37,9;0;438;8,8
2016-04-01 22:20:00;20,39;37,9;0;450;8,6
2016-04-01 22:40:00;20,39;38;0;444;8,4
2016-04-01 22:50:00;20,39;38;0;409;8,3
2016-04-01 23:30:00;20,39;38,09;0;424;8,35
